characterId,characterName,level,jobId,jobGrowId,jobName,jobGrowName,adventureName,guildId,guildName,code,name,date,data
31981ee2213a4a254bf2321f890c0895,웨펀티거,110,41f1cdc2ff58bb5fdc287be0db2a8df3,37495b941da3b1661bc900e68ef3b2c6,귀검사(남),眞 웨펀마스터,JH티거,47a823919a65f5ec91cd76f93fdac4b5,도구의역작,104.0,캐릭터 최고 레벨 달성,2023-07-17 20:19,{'level': 110}
c641df949ea0ae2cebbec1db6d0529af,양손막기,110,1645c45aabb008c98406b3a16447040d,92da05ec93fb43406e193ffb9a2a629b,귀검사(여),眞 블레이드,zI존솩솩솩,e54ec95db524169b17567f5aeba415a3,단벌신사,104.0,캐릭터 최고 레벨 달성,2023-06-29 18:21,{'level': 110}
c3bb842515f763cdc90f814dec744045,루나버퍼,110,0c1b401bb09241570d364420b3ba3fd7,37495b941da3b1661bc900e68ef3b2c6,프리스트(여),眞 크루세이더,루나별,d7d627c9599b84a923fdf997c8efcb4d,구슬구슬,,,,
d340f1d0b61034de356a15f3bddd126a,파옵,100,3909d0b188e9c95311399f776e331da5,faf8fc6f0cd4c0f84f0035e23bd4fa19,마법사(여),트릭스터,공이양,fe2b0070271018516f3a71d5a1fe5a35,G7,,,,
c02601e2f33444b2130f9f3666b9475e,眞:트래드머,110,b9cb48777665de22c006fabaf9a560b3,618326026de1a1f1cfba5dbd0b8396e7,아처,眞 트래블러,루버위치,82fe2e89c585620288a6ca70246bb279,명실,104.0,캐릭터 최고 레벨 달성,2023-06-06 21:26,{'level': 110}
d054b122271748d825e3bb1b1315412f,헬버릭,110,f6a4ad30555b99b499c07835f87ce522,37495b941da3b1661bc900e68ef3b2c6,프리스트(남),眞 크루세이더,설정값,29e83dda7e82a66f616de2b98ca5320a,호갱니들,104.0,캐릭터 최고 레벨 달성,2023-07-04 15:07,{'level': 110}
df1a2acd593d7cf83d2e540dfd19ccc1,칭챙총챙이,110,986c2b3d72ee0e4a0b7fcfbe786d4e02,37495b941da3b1661bc900e68ef3b2c6,총검사,眞 히트맨,킹갓흥겜,a7eec69da620dc79e7326d55bcb5554f,서브컴퍼니,,,,
3b4c6bc4be990faf32dd3c3e99ca9630,월아뮤즈,110,b9cb48777665de22c006fabaf9a560b3,37495b941da3b1661bc900e68ef3b2c6,아처,眞 뮤즈,월아패밀리,e8cb47f322d3ad69666f800be3f46ca5,헬토리,,,,
0d1793343951d96b9a3c395636d886e1,개구리탕수육,110,1645c45aabb008c98406b3a16447040d,c9b492038ee3ca8d27d7004cf58d59f3,귀검사(여),眞 베가본드,개구리튀김단,af535b6f86784f778f06c5f9d09e3fac,무네,,,,
87da52136f3446cd841a17e45d66655c,P메카닉,110,afdf3b989339de478e85b614d274d1ef,6d459bc74ba73ee4fe5cdc4655400193,거너(남),眞 메카닉,꼬이꼬이,7fc0a3d1b49180611410dce3ea1ab6d6,트,104.0,캐릭터 최고 레벨 달성,2023-07-02 22:07,{'level': 110}
21fe28f4bcd86d2fb784b31d5e191212,정병발,110,a7a059ebe9e6054c0644b40ef316d6e9,6d459bc74ba73ee4fe5cdc4655400193,격투가(여),眞 스트리트파이터,병발,d158e306f52b1d426e2a24256e55e965,에픽예보,,,,
ffb9dce8f6b68383245b1d18cb46a5bf,공깜,110,afdf3b989339de478e85b614d274d1ef,618326026de1a1f1cfba5dbd0b8396e7,거너(남),眞 런처,로켓런처,940be29e7b800634ed36c9c3300a9d1c,마을버스,,,,
70e052c046802c3755282ec88cbace4c,U런처,110,afdf3b989339de478e85b614d274d1ef,8022a99e29b5e4845985fe1d79a233f3,거너(남),디스트로이어,꼬이꼬이,7fc0a3d1b49180611410dce3ea1ab6d6,트,104.0,캐릭터 최고 레벨 달성,2023-07-12 14:48,{'level': 110}
a998d3fe9ea7822306eab78a798d82b2,스파,31,944b9aab492c15a8474f96947ceeb9e4,4a1459a4fa3c7f59b6da2e43382ed0b9,거너(여),스핏파이어,송내,,,,,,
8c73e1673b9d17007a5cf0fcbb948005,천궄,110,17e417b31686389eebff6d754c3401ea,0a49d9c8b5e1358efff324e5cb11d41e,다크나이트,眞 다크나이트,지옼,d2b6e973fba477af97b1aad495a39ab0,듀랑고,104.0,캐릭터 최고 레벨 달성,2023-06-29 19:17,{'level': 110}
a87a239d7d134398b0d4a9579810d913,구라요원,110,986c2b3d72ee0e4a0b7fcfbe786d4e02,618326026de1a1f1cfba5dbd0b8396e7,총검사,眞 요원,ckck11,67f3db4df4b8b5c0586b031af7e47986,켈리의길드,104.0,캐릭터 최고 레벨 달성,2023-06-29 20:04,{'level': 110}
d93bd59ba94e2efd84f9f7ecc91a1c19,메인님,110,0c1b401bb09241570d364420b3ba3fd7,37495b941da3b1661bc900e68ef3b2c6,프리스트(여),眞 크루세이더,메인군단,b4c8a94ea3fa86907bbbbafc284b995f,꽁냥,,,,
21387b1b066009bb0e4b6e19e346d9d4,나비꽃,110,944b9aab492c15a8474f96947ceeb9e4,37495b941da3b1661bc900e68ef3b2c6,거너(여),眞 레인저,사채업자,1cc85461f1fa6305c9be82e405cb043e,쿠르쿠마,,,,
d6b83655428b887d14ea41fe5a26d579,요눈,110,986c2b3d72ee0e4a0b7fcfbe786d4e02,618326026de1a1f1cfba5dbd0b8396e7,총검사,眞 요원,종합서,73e44691b02ccf15509584c22e660b49,금련,104.0,캐릭터 최고 레벨 달성,2023-06-30 10:06,{'level': 110}
6b51b243f41d90efd98744b4efbad4ae,자수체험,110,41f1cdc2ff58bb5fdc287be0db2a8df3,c9b492038ee3ca8d27d7004cf58d59f3,귀검사(남),眞 아수라,Breaker,29035efa1c33f5203d1def2a11243169,펜타캐슬,,,,
0fe59e17ad3a6333b6e0abfe9620cc3b,한효주,110,a7a059ebe9e6054c0644b40ef316d6e9,6d459bc74ba73ee4fe5cdc4655400193,격투가(여),眞 스트리트파이터,나크나크,28c10cfc61df858a24f5b16b94159641,힐던갤,,,,
